X;Y;x0_Si;ampli_Si;area_Si;fwhm_Si;Quadrant;Zone;Slot;DeltaW;Strain (GPa);NB pts
-31.584;31.584;514.717;8804.194;53651.336;3.879;Q2;Center;3;5.983000000000061;1.3013025000000134;49pts
-44.667;0.0;514.715;8798.4;54555.638;3.947;;Center;3;5.985000000000014;1.3017375000000029;49pts
-31.584;-31.584;514.806;8418.629;52478.746;3.968;Q1;Center;3;5.8940000000000055;1.2819450000000012;49pts
0.0;-44.667;514.655;8858.298;54643.547;3.927;;Center;3;6.045000000000073;1.3147875000000158;49pts
31.584;-31.584;514.861;8020.97;49920.36;3.962;Q4;Center;3;5.839000000000056;1.269982500000012;49pts
89.333;0.0;514.772;7753.433;47221.55;3.877;;Mid-Radius;3;5.927999999999997;1.2893399999999997;49pts
82.533;34.186;514.869;6986.362;43286.064;3.944;Q3;Mid-Radius;3;5.831000000000017;1.2682425000000035;49pts
63.168;63.168;514.9;7770.835;47512.444;3.892;Q3;Mid-Radius;3;5.800000000000068;1.2615000000000147;49pts
34.186;82.533;514.869;7731.889;47323.095;3.896;Q3;Mid-Radius;3;5.831000000000017;1.2682425000000035;49pts
0.0;89.333;514.867;7466.773;45522.261;3.881;;Mid-Radius;3;5.833000000000084;1.268677500000018;49pts
-34.186;82.533;514.896;7317.613;44927.091;3.909;Q2;Mid-Radius;3;5.804000000000087;1.262370000000019;49pts
-63.168;63.168;514.952;7780.116;48613.356;3.978;Q2;Mid-Radius;3;5.748000000000047;1.2501900000000103;49pts
-82.533;34.186;514.797;7822.628;47894.455;3.898;Q2;Mid-Radius;3;5.90300000000002;1.2839025000000044;49pts
-89.333;0.0;514.8;7033.065;42868.737;3.88;;Mid-Radius;3;5.900000000000091;1.2832500000000198;49pts
-82.533;-34.186;514.881;7669.13;47175.035;3.916;Q1;Mid-Radius;3;5.819000000000074;1.265632500000016;49pts
-63.168;-63.168;514.897;7912.026;48642.972;3.914;Q1;Mid-Radius;3;5.802999999999997;1.2621524999999991;49pts
-34.186;-82.533;514.892;7106.727;43717.29;3.916;Q1;Mid-Radius;3;5.807999999999993;1.2632399999999984;49pts
0.0;-89.333;514.879;7767.875;47384.877;3.883;;Mid-Radius;3;5.821000000000026;1.2660675000000057;49pts
34.186;-82.533;514.938;7970.174;49256.243;3.934;Q4;Mid-Radius;3;5.762000000000057;1.2532350000000123;49pts
63.168;-63.168;514.921;6591.82;40838.059;3.944;Q4;Mid-Radius;3;5.778999999999996;1.2569324999999991;49pts
82.533;-34.186;514.89;7753.993;47581.761;3.907;Q4;Mid-Radius;3;5.810000000000059;1.2636750000000128;49pts
134.0;0.0;515.065;8241.108;51086.611;3.946;;Edge;3;5.634999999999991;1.225612499999998;49pts
129.434;34.682;515.114;8236.531;51673.814;3.994;Q3;Edge;3;5.586000000000013;1.214955000000003;49pts
116.047;67.0;515.122;8174.701;51105.253;3.98;Q3;Edge;3;5.578000000000088;1.2132150000000193;49pts
94.752;94.752;514.92;8270.785;51207.401;3.942;Q3;Edge;3;5.780000000000086;1.2571500000000189;49pts
67.0;116.047;514.997;7723.018;47919.42;3.95;Q3;Edge;3;5.703000000000088;1.2404025000000192;49pts
34.682;129.434;515.116;8372.969;52221.312;3.971;Q3;Edge;3;5.58400000000006;1.2145200000000131;49pts
0.0;134.0;515.012;8565.145;53056.092;3.943;;Edge;3;5.688000000000102;1.237140000000022;49pts
-34.682;129.434;515.095;7999.576;50098.474;3.987;Q2;Edge;3;5.605000000000018;1.219087500000004;49pts
-67.0;116.047;514.938;8848.174;54953.086;3.954;Q2;Edge;3;5.762000000000057;1.2532350000000123;49pts
-94.752;94.752;514.969;7967.654;49678.901;3.969;Q2;Edge;3;5.7309999999999945;1.246492499999999;49pts
-116.047;67.0;514.841;8422.566;52306.431;3.954;Q2;Edge;3;5.859000000000037;1.274332500000008;49pts
-129.434;34.682;515.006;8215.275;51364.382;3.98;Q2;Edge;3;5.694000000000074;1.238445000000016;49pts
-134.0;0.0;515.08;8735.243;54315.299;3.958;;Edge;3;5.6200000000000045;1.222350000000001;49pts
-129.434;-34.682;515.138;8529.659;53457.946;3.99;Q1;Edge;3;5.562000000000012;1.209735000000003;49pts
-116.047;-67.0;515.01;8735.117;53930.613;3.93;Q1;Edge;3;5.690000000000055;1.237575000000012;49pts
-94.752;-94.752;515.102;8659.885;53589.089;3.94;Q1;Edge;3;5.59800000000007;1.217565000000015;49pts
-67.0;-116.047;515.102;8748.461;54066.543;3.934;Q1;Edge;3;5.59800000000007;1.217565000000015;49pts
-34.682;-129.434;514.99;8772.523;53724.482;3.899;Q1;Edge;3;5.710000000000036;1.241925000000008;49pts
0.0;-134.0;515.1;8736.206;53433.209;3.894;;Edge;3;5.600000000000023;1.2180000000000049;49pts
34.682;-129.434;514.962;8589.798;52651.157;3.902;Q4;Edge;3;5.738000000000056;1.2480150000000123;49pts
67.0;-116.047;514.984;8566.64;52814.732;3.925;Q4;Edge;3;5.716000000000008;1.2432300000000018;49pts
94.752;-94.752;515.07;8523.653;52663.835;3.933;Q4;Edge;3;5.629999999999996;1.224524999999999;49pts
116.047;-67.0;515.121;8347.379;51784.628;3.949;Q4;Edge;3;5.579000000000065;1.213432500000014;49pts
129.434;-34.682;515.076;8035.763;49452.468;3.918;Q4;Edge;3;5.624000000000024;1.223220000000005;49pts
0.0;0.0;514.784;8673.605;52760.354;3.872;;Center;4;5.916000000000054;1.2867300000000117;49pts
44.667;0.0;514.754;8984.338;55162.515;3.909;;Center;4;5.946000000000026;1.2932550000000058;49pts
31.584;31.584;514.82;8887.904;54199.2;3.882;Q3;Center;4;5.879999999999996;1.278899999999999;49pts
0.0;44.667;514.685;8797.843;54108.991;3.915;;Center;4;6.0150000000001;1.3082625000000216;49pts
-31.584;31.584;514.934;8811.149;54308.941;3.924;Q2;Center;4;5.766000000000076;1.254105000000017;49pts
-44.667;0.0;514.878;8878.991;54374.793;3.899;;Center;4;5.822000000000003;1.2662850000000003;49pts
-31.584;-31.584;514.802;8942.417;55173.662;3.928;Q1;Center;4;5.898000000000025;1.2828150000000054;49pts
0.0;-44.667;514.889;8898.589;55372.878;3.961;;Center;4;5.811000000000036;1.2638925000000076;49pts
31.584;-31.584;514.747;8994.554;55230.186;3.909;Q4;Center;4;5.953000000000088;1.2947775000000192;49pts
89.333;0.0;515.018;7734.875;47469.414;3.907;;Mid-Radius;4;5.682000000000016;1.2358350000000036;49pts
82.533;34.186;514.93;7722.951;47411.841;3.908;Q3;Mid-Radius;4;5.770000000000096;1.2549750000000208;49pts
63.168;63.168;514.884;7691.508;46928.542;3.884;Q3;Mid-Radius;4;5.816000000000031;1.2649800000000069;49pts
34.186;82.533;514.832;7636.732;46415.367;3.869;Q3;Mid-Radius;4;5.868000000000052;1.2762900000000112;49pts
0.0;89.333;514.942;7498.458;46235.197;3.925;;Mid-Radius;4;5.758000000000038;1.2523650000000084;49pts
-34.186;82.533;515.016;7339.409;44752.383;3.882;Q2;Mid-Radius;4;5.684000000000083;1.236270000000018;49pts
-63.168;63.168;514.864;7838.061;48043.373;3.902;Q2;Mid-Radius;4;5.836000000000013;1.2693300000000027;49pts
-82.533;34.186;514.904;7162.852;43971.752;3.908;Q2;Mid-Radius;4;5.796000000000049;1.2606300000000106;49pts
-89.333;0.0;515.014;7895.571;48371.018;3.9;;Mid-Radius;4;5.686000000000036;1.2367050000000075;49pts
-82.533;-34.186;515.017;7889.983;48046.151;3.877;Q1;Mid-Radius;4;5.682999999999993;1.2360524999999984;49pts
-63.168;-63.168;515.084;7457.638;45855.5;3.914;Q1;Mid-Radius;4;5.616000000000099;1.2214800000000217;49pts
-34.186;-82.533;514.839;7663.799;47208.405;3.922;Q1;Mid-Radius;4;5.86099999999999;1.2747674999999978;49pts
